headline,class,example,hl_pred,pop_pred,hl_%diff,pop_%diff,av_%diff
"""'She was just 13': Albanese's emotional tribute to Bali bombing victims""",original,1,-1.3099336308005038,2.0693152783284035,0.0,0.0,0.0
"""Emotional Tribute: Albanese Honors Bali Bombing Victims, Including the Heartbreaking Story of a 13-Year-Old""",variant,1,-1.447022173781903,2.185927066475279,-0.1281069772934422,0.12368311789978742,-0.002211929696827389
"""Remembering Bali Bombing Victims: Albanese's Tearful Homage to Those Lost, Especially a 13-Year-Old""",variant,1,-1.4444773459571372,2.2135479354805856,-0.12588533401820193,0.15515283183169087,0.014633748906744473
"""A 13-Year-Old's Tragic Fate: Albanese's Moving Tribute to Bali Bombing Victims""",variant,1,-1.4314201121945818,2.2036753581273087,-0.11439697461375173,0.14380460643481727,0.01470381591053277
"""Albanese's Heartfelt Tribute: Bali Bombing Victims, With a Special Mention of a 13-Year-Old""",variant,1,-1.4121109151800508,2.154646893464591,-0.09713052717474482,0.08907816162570405,-0.0040261827745203885
"""Emotion-Filled Homage: Albanese Pays Respects to Bali Bombing Victims, Including a 13-Year-Old""",variant,1,-1.4760365261704034,2.1528228573217887,-0.1530409184623101,0.08709345433575505,-0.03297373206327753
"""Albanese's Touching Tribute to Bali Bombing Victims, Especially the Youngest Among Them""",variant,1,-1.4662090644427879,2.1185920402989247,-0.14467642696301505,0.050511052019454244,-0.047082687471780404
"""Remembering the Tragedy: Albanese's Heartfelt Tribute to Bali Bombing Victims, Featuring a 13-Year-Old""",variant,1,-1.4286464297649908,2.158745319545901,-0.11193718329966655,0.09355082715177096,-0.009193178073947796
"""A 13-Year-Old's Story: Albanese's Emotional Tribute to Bali Bombing Victims""",variant,1,-1.3605200674632576,2.1691054675406107,-0.0493282477727874,0.10493906561810447,0.027805408922658533
"""Honoring Bali Bombing Victims: Albanese's Heartwarming Tribute, With a Focus on a 13-Year-Old""",variant,1,-1.3925782458057938,2.171214056356704,-0.0793217156659213,0.10727138586236963,0.013974835098224163
"""Tribute to Innocence Lost: Albanese Remembers Bali Bombing Victims, Particularly a 13-Year-Old""",variant,1,-1.4674880157860775,2.235379951675889,-0.14576964496036862,0.18064945580672645,0.017439905423178914
